school_name,organization_number,municipality,county,mobbing_by_students_pct,mobbing_by_adults_pct,mobbing_digital_pct,students_2025_26,special_education_2025_26,enhanced_norwegian_2025_26,teachers_2025_26,teacher_density_2025_26,latitude,longitude,geocoded_address,geocoding_status
Eidsvåg skole,974738554,Bergen,Vestland,,0.0,0.0,231,11,23,17,1605.0,60.328288968062935,5.283134423423464,,approximate_from_name_hash
Fjellsdalen skole,976654773,Bergen,Vestland,6.0,,6.1,407,11,,34,1645.0,60.39977947161338,5.3922440023216405,,approximate_from_name_hash
Flaktveit skole,974738740,Bergen,Vestland,25.7,5.6,5.7,269,31,17,28,1592.0,60.43235505929699,5.279892504291862,,approximate_from_name_hash
Foreningen Danielsen ungdomsskole Bergen,973159658,Bergen,Vestland,,,,270,20,0,28,2573.0,60.38046378572762,5.435208624435841,,approximate_from_name_hash
Fridalen skole,974737949,Bergen,Vestland,16.7,,0.0,440,30,62,39,1478.0,60.4759145328474,5.394637464137639,,approximate_from_name_hash
Garnes skule,974738120,Bergen,Vestland,8.5,0.0,4.3,308,19,24,28,1652.0,60.33734099889251,5.112663545886576,,approximate_from_name_hash
Garnes ungdomsskule,974738473,Bergen,Vestland,,,,438,11,8,37,1991.0,60.39069981194838,5.4024059787372325,,approximate_from_name_hash
Gimle Oppveksttun skole,974738015,Bergen,Vestland,,,,565,25,13,54,1886.0,60.33942626914882,5.440332753605184,,approximate_from_name_hash
Haukedalen skole,974738562,Bergen,Vestland,14.0,,5.3,365,6,13,31,1638.0,60.341521341971976,5.1341810696923265,,approximate_from_name_hash
Haukeland skole,974737930,Bergen,Vestland,0.0,,0.0,361,11,9,28,1683.0,60.31450722105921,5.37887969714726,,approximate_from_name_hash
Haukås skole,974738066,Bergen,Vestland,10.3,,,233,26,50,25,1471.0,60.479190094593925,5.336901564924839,,approximate_from_name_hash
Hellen skole,974737892,Bergen,Vestland,,,0.0,402,22,33,37,1609.0,60.32318450205362,5.345392433805027,,approximate_from_name_hash
Hjellestad skole,874738182,Bergen,Vestland,,0.0,,175,10,6,16,1621.0,60.38426287260774,5.082449887614053,,approximate_from_name_hash
Holen skole,974738368,Bergen,Vestland,,,0.0,540,37,26,45,1845.0,60.49919720933186,5.264047462794446,,approximate_from_name_hash
Hop Oppveksttun skole,874738522,Bergen,Vestland,,,,434,33,36,47,1922.0,60.37218344653147,5.374500416485649,,approximate_from_name_hash
Hordvik skole,974738023,Bergen,Vestland,0.0,0.0,,264,11,8,23,1667.0,60.3657297612016,5.224072713923856,,approximate_from_name_hash
International School Of Bergen avd skole,974187442,Bergen,Vestland,,,,199,0,0,26,1087.0,60.38371155392329,5.3906515723031525,,approximate_from_name_hash
Kaland skole,974738333,Bergen,Vestland,,0.0,,247,18,8,24,1544.0,60.42507690771453,5.252874302687766,,approximate_from_name_hash
Kalvatræet skole,974738503,Bergen,Vestland,0.0,0.0,,145,35,7,18,1615.0,60.33531752242007,5.433044784938161,,approximate_from_name_hash
Kirkevoll skole,974738252,Bergen,Vestland,5.6,,,558,11,18,46,1771.0,60.343704918182205,5.525463208598835,,approximate_from_name_hash
